,Age,Sex,N,Und,Alc,Smk,HIV,Dia
0,0,m,548833.67,0.0,0.0,0.0,0.0,0.0
1,0,m,163937.33000000002,1.0,0.0,0.0,0.0,0.0
2,0,f,540660.89,0.0,0.0,0.0,0.0,0.0
3,0,f,161496.11000000002,1.0,0.0,0.0,0.0,0.0
4,1,m,540303.61,0.0,0.0,0.0,0.0,0.0
5,1,m,161389.39,1.0,0.0,0.0,0.0,0.0
6,1,f,532438.83,0.0,0.0,0.0,0.0,0.0
7,1,f,159040.17,1.0,0.0,0.0,0.0,0.0
8,2,m,532722.96,0.0,0.0,0.0,0.0,0.0
9,2,m,159125.04,1.0,0.0,0.0,0.0,0.0
10,2,f,526036.28,0.0,0.0,0.0,0.0,0.0
11,2,f,157127.72,1.0,0.0,0.0,0.0,0.0
12,3,m,528692.01,0.0,0.0,0.0,0.0,0.0
13,3,m,157920.99000000002,1.0,0.0,0.0,0.0,0.0
14,3,f,523038.67,0.0,0.0,0.0,0.0,0.0
15,3,f,156232.33000000002,1.0,0.0,0.0,0.0,0.0
16,4,m,527900.4500000001,0.0,0.0,0.0,0.0,0.0
17,4,m,157684.55000000002,1.0,0.0,0.0,0.0,0.0
18,4,f,522464.25,0.0,0.0,0.0,0.0,0.0
19,4,f,156060.75,1.0,0.0,0.0,0.0,0.0
20,5,m,523536.09,0.0,0.0,0.0,0.0,0.0
21,5,m,156380.91,1.0,0.0,0.0,0.0,0.0
22,5,f,519106.28,0.0,0.0,0.0,0.0,0.0
23,5,f,155057.72,1.0,0.0,0.0,0.0,0.0
24,6,m,515714.43,0.0,0.0,0.0,0.0,0.0
25,6,m,154044.57,1.0,0.0,0.0,0.0,0.0
26,6,f,512522.78,0.0,0.0,0.0,0.0,0.0
27,6,f,153091.22,1.0,0.0,0.0,0.0,0.0
28,7,m,512545.88,0.0,0.0,0.0,0.0,0.0
29,7,m,153098.12,1.0,0.0,0.0,0.0,0.0
30,7,f,509967.92,0.0,0.0,0.0,0.0,0.0
31,7,f,152328.08000000002,1.0,0.0,0.0,0.0,0.0
32,8,m,514833.55,0.0,0.0,0.0,0.0,0.0
33,8,m,153781.45,1.0,0.0,0.0,0.0,0.0
34,8,f,512679.09,0.0,0.0,0.0,0.0,0.0
35,8,f,153137.91,1.0,0.0,0.0,0.0,0.0
36,9,m,517843.48000000004,0.0,0.0,0.0,0.0,0.0
37,9,m,154680.52000000002,1.0,0.0,0.0,0.0,0.0
38,9,f,515993.17,0.0,0.0,0.0,0.0,0.0
39,9,f,154127.83000000002,1.0,0.0,0.0,0.0,0.0
40,10,m,521479.42,0.0,0.0,0.0,0.0,0.0
41,10,m,155766.58000000002,1.0,0.0,0.0,0.0,0.0
42,10,f,519838.55,0.0,0.0,0.0,0.0,0.0
43,10,f,155276.45,1.0,0.0,0.0,0.0,0.0
44,11,m,526035.51,0.0,0.0,0.0,0.0,0.0
45,11,m,157127.49000000002,1.0,0.0,0.0,0.0,0.0
46,11,f,524271.44,0.0,0.0,0.0,0.0,0.0
47,11,f,156600.56,1.0,0.0,0.0,0.0,0.0
48,12,m,526408.96,0.0,0.0,0.0,0.0,0.0
49,12,m,157239.04,1.0,0.0,0.0,0.0,0.0
50,12,f,524730.36,0.0,0.0,0.0,0.0,0.0
51,12,f,156737.64,1.0,0.0,0.0,0.0,0.0
52,13,m,519510.53,0.0,0.0,0.0,0.0,0.0
53,13,m,155178.47,1.0,0.0,0.0,0.0,0.0
54,13,f,518528.78,0.0,0.0,0.0,0.0,0.0
55,13,f,154885.22,1.0,0.0,0.0,0.0,0.0
56,14,m,506076.34,0.0,0.0,0.0,0.0,0.0
